Id,airline_sentiment,airline,retweet_count,text,tweet_coord,tweet_location,user_timezone
0,positive,Delta,0,@JetBlue I'll pass along the advice. You guys rock!!,,Massachusetts,Central Time (US & Canada)
1,negative,United,0,@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet.,,ny,Quito
2,positive,Southwest,0,@SouthwestAir Black History Commercial is really sweet. Well done.,,La Florida,Eastern Time (US & Canada)
3,negative,Southwest,0,@SouthwestAir why am I still in Baltimore?! @delta is doing laps around us and laughing about it. # ridiculous,"[39.1848041, -76.6787131]","Tallahassee, FL",America/Chicago
4,positive,Southwest,0,@SouthwestAir SEA to DEN. South Sound Volleyball team on its way! http://t.co/tN5cXCld6M,,,Pacific Time (US & Canada)
5,negative,United,1,@united One of your workers refused to give me her name as a reference for my notes. Her tone &amp; language was very unprofessional.,,SD || CA   ,Arizona
6,negative,American,0,@AmericanAir seats that were assigned are inappropriate for child this age. AA knew age of child.,,SE USA,Central Time (US & Canada)
7,negative,American,0,@AmericanAir now you change my gate and don't tell me? What the fuck is wrong with you people. Learn to do your fucken job,,,
8,negative,US Airways,0,@USAirways What a mess caused by the computer systems. Flight 719 in 3 hours Late Flight and now no gate for us. Est 26 min wait.,,,
9,negative,United,1,"@united How come you are the ONLY airline, of 90+ flights last year that makes me check my carry-on. Not even gate check...baggage claim?!?",,Born/Raised in 314/Home is 317,Eastern Time (US & Canada)
10,negative,US Airways,0,@USAirways Its pretty ridiculous that at PHX sky harbor you have 4 (!) employees working check in on a SUNDAY afternoon. 30 min &amp; counting..,,"Saint Louis, MO",Central Time (US & Canada)
11,negative,United,0,@united yes 1427 Cancelled Flightled. Moved to 333. I'll figure out car rental changes and such.,,"Washington, DC",Eastern Time (US & Canada)
12,negative,American,0,@AmericanAir this is the biggest joke of #customerservice I've ever seen from a  ✈️ brand http://t.co/XHSUUpHeZe,,"Manhattan, NY",Eastern Time (US & Canada)
13,negative,American,0,"@AmericanAir I made my flight but then still had no update emails when I landed, no info ever sent on that or second flight. Losing my biz.",,New York City,Eastern Time (US & Canada)
14,negative,United,1,@united how can you not know the weight of our plane after us sitting on the plane for 2.5 hrs? Not convinced your company is safe for flt.,,"Ventura, California",Pacific Time (US & Canada)
15,neutral,American,0,"@AmericanAir #epicfail on connections in #Chicago today, extremely disappointed w/ unaccommodating customer service, rethinking loyalty 😐",,Brooklyn to Across the Globe,
16,negative,Southwest,0,@SouthwestAir in my 30 years of flying I have never been so pissed off.  To many incidents for just one flight.,,"Las Vegas, NV",Pacific Time (US & Canada)
17,positive,Southwest,0,"@SouthwestAir Another great flight &amp; crew, Las Vegas-Chicago #3397. Thanks!",,Indy,Eastern Time (US & Canada)
